MED_DIRECTIONS,FREQUENCY
25mg 1 tablet once daily,89
2.5 mg by mouth twice a day,89
50mg 1 tablet once daily,89
(Also Known As Robaxin) 1 tablet by mouth three times a day for 10 days as needed for muscle spasms,89
2.5 mL by mouth daily,89
0.5mg IV every 4 hours as needed,89
25 mg tablet 1 tablet by mouth once daily,89
50mcg take one tablet daily,89
0.1mg by mouth at bedtime,89
(Also Known As Celexa) 3 tablets by mouth daily,89
(Also Known As Dilaudid) 1 tablet by mouth every 4 hours for 7 days as needed for pain,89
5000 units one tab by mouth daily,89
20mg po daily prn,89
2 sprays per nostril as needed,89
(Also Known As Pyridium) 1 tablet by mouth three times a day as needed,89
once dialy by mouth ,89
(Also Known As Zofran ODT) 1 tablet on the tongue every 6 hours for 14 days as needed for nausea,89
"1 under tongue for chest pain ,repeat every 5 min until relief; if pain persists after 3 tablets in 15 min, seek prompt medical attention",89
(Also Known As Xyzal) 1 tablet by mouth every evening at bedtime,89
15 milliliters by mouth every 6 hours for 5 days as needed for pain,89
0.5 mg by mouth twice a day,89
(Also Known As Ultram) 1-2 tablets by mouth every 6 hours for 7 days as needed for pain,89
1 tablet by mouth every 12 hours for fourteen days,89
75 mg tablet once daily,89
take as directed daily,89
(Also Known As Diastat AcuDial) 12.5 milligrams into the rectum as directed one time only as needed for as needed for tonic clonic seizures lasting longer than 5 minutes,89
one tab three times a day,89
1000 mg every 12 hours,89
40mg 1 cap po daily,89
325 mg one tablet by mouth as needed,89
20 mg one by mouth daily as needed,89
20-25mg by mouth daily,89
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours for 1 day,89
5mg take 1 tablet daily,89
(Also Known As Valtrex) 1 tablet by mouth every 12 hours for 7 days,89
1 tablet by mouth three times a day for 30 day(s) as needed,89
25 mg tablet 1 tablet by mouth twice daily,89
(Also Known As Flomax) 1 capsule by mouth daily for 7 day(s),89
80mg 1 tab by mouth at bedtime,89
2.5 mg 1 tablet by mouth once daily,89
Take 0.4 mg by mouth daily.,89
1 capsule by mouth daily for 30 day(s) as needed for constipation,89
sliding scale every 4 hours,89
175 mcg Tab 1 tablet by mouth daily,89
160mg one tab by mouth daily,89
one drop in each eye twice a day,89
25mg one by mouth at bedtime,89
(Also Known As Ativan) 1 tablet by mouth every 8 hours as needed for nausea,89
"160 mg orally three times daily, as needed",89
2 tablet in tube twice daily,89
(ZOFRAN ODT) 1 tablet by mouth every 6 hours as needed for nausea,89
200mg 1 tablet by mouth daily as needed,89
81mg tablet PO daily,89
0.3 milliliters (0.3 mg) intramuscularly as needed for 6 months as needed,89
1 mg twice daily by mouth,89
2 tablet by mouth as needed,89
"10 mg, 1 tablet by mouth daily",89
as needed for allergy symptoms,89
40 mg by mouth every other day ,89
(Also Known As Topamax) 1 tablet by mouth every evening,89
1 capful daily as needed,89
#NAME?,89
325 mg three times daily,89
WEEKLY INJECTION,89
2 tablets by mouth every 6 hours for 14 days as needed for pain,89
250 mcg orally once daily,88
6.25mg by mouth twice a day,88
"Use as directed, 4x daily",88
as needed for insomnia,88
240mg by mouth twice daily,88
"300mg orally once daily, at bedtime",88
10 mg 1 tab twice a day,88
1 tablet by mouth every 6 hours for five days as needed for nausea,88
Apply intranasally three times a day for one month,88
(Also Known As Keppra) 7 milliliters (700 mg) by mouth twice a day,88
25mg one by mouth as needed,88
250mcg by mouth Daily,88
10mg 1 by mouth nightly,88
50mg 1 tab by mouth nightly,88
81 MG takes as directed,88
500mg 1 tablet by mouth 3 times daily,88
5 milliliters (400 mg) by mouth three times a day for 10 days,88
10mg by mouth prn,88
75mg one pill by mouth daily,88
2 puffs from the inhaler q4-6 hours as needed,88
take 2 tablets (4 mg) by oral route after 1st loose stool and 1 tablet (2 mg) after each next bowel movement; do not exceed 16 mg in 24hrs,88
250mg one tab by mouth daily,88
60mg tablet orally daily,88
40mg 2 times daily,88
"2 tablets by mouth every morning with food for 5 days, then 1 tablet by mouth with food for 5 days",88
800 mg one tablet by mouth three times daily,88
150mg 1 tablet by mouth 2 times daily,88
1000mg tablet twice daily,88
150 mg tablet twice daily,88
apply one-half of the ointment from the tube into one nostril and the other half into the other nostril by topical route 2 times per day in the morning and evening for 5 days,88
40 mg once daily at bedtime,88
(Also Known As Ambien) 1 tablet by mouth every evening at bedtime for 10 days as needed for insomnia,88
0.125mg 1 PO daily,88
apply cream as needed,88
100mg Tablets take 1 tablet by mouth twice daily,88
2 puffs every 4 hours as needed.,88
(Also Known As Imitrex) 1 tablet by mouth at the first sign of symptoms,88
1 tsp by mouth as needed,88
1200mg 1 tab po daily,88
20 mg capsule once daily ,88
10mg orally three times daily,88
Take one capsule weekly for 12 weeks. Take with a meal. Once complete begin 5000iu OTC Vitamin D3 once daily.,88
(Flexeril) 1 tablet by mouth daily,88
?mg tablet once daily,88
by mouth as needed for nausea,88
50 mg tablet (Also Known As Zoloft) 1 tablet by mouth daily for depression,88
2.5 milliliters by mouth every 6 hours for 5 days as needed for pain,88
5 mg one tablet a day po,88
(Also Known As Reglan) 1 tablet by mouth every 8 hours as needed for nausea,88
(Also Known As Ocuflox) 1 drop in eyes as directed four times a day for 7 days,88
75mcg 1 tablet daily,88
Take 5 mg by mouth.,88
0.65 milliliters (2 mg) subcutaneously every week,88
(Verelan) 1 capsule by mouth daily,88
"ER 20 mEq Tab, Particles/Crystals (Also Known As Klor-Con M20) 1 tablet by mouth daily ",88
10mg one tab by mouth three times daily,88
5mg once daily at bedtime,88
600 mg orally once daily,88
25 mg take one tablet twice daily,88
(Also Known As Lortab 5-325) 1 tablet by mouth every 6 hours for 5 days as needed for pain,88
100/25 mg once daily,88
2.5mg 1 tablet by mouth as needed,88
(Also Known As Sinemet) 3 tablets by mouth three times a day,88
2mg 1 tab daily by mouth,88
(Also Known As Topamax) 1 tablet by mouth every 12 hours,88
225 mg orally every 6 hours as needed for pain,88
0.5 mg twice a day,88
5mg by mouth every other day,88
1 tsp daily as needed,88
80 mg twice a day,88
"10 mg, One tablet by mouth daily",88
200-50MG (Oral Tablet) PO BID,88
1 tablet by mouth every 6 hours for 5 days as needed for eye pain,88
10 mg by mouth prn,88
300mg one by mouth twice daily,88
500 mg PO once daily,88
(Klonopin) 1 tablet by mouth three times a day,88
"one tablet, Once per day as needed",88
1mg tablet daily,88
100mg take 1 by mouth daily,88
1 tablet by mouth every 8 hours for 3 day(s),88
25mg take 1 tablet by mouth twice daily,88
10 mg tab orally twice daily,88
15MG 1 tablet po daily,88
81mg take one tablet once a day,88
150mg 1 tab po qd ,88
10mg take at bedtime,88
40mg by mouth daily a.m.,88
300mg 1 tab. by mouth daily,88
25mg one tablet daily by mouth,88
150 mg one by mouth twice daily,88
0.4 mg 1 tablet by mouth once daily,88
one half to one teaspoon po twice a day to three times a day prn abdominal pain.,88
2 puffs from the inhaler every 4 hours as needed for wheezing/cough,88
1/2 tab as needed,88
2 puffs from the inhaler every 6 hours for 7 days as needed for cough,88
0.5-1 tablets by mouth daily as needed,88
.25mg by mouth daily ,88
0.5 tablet by mouth twice a day for 90 day(s),88
"take 1/2 - 1 tablet/wafer as necessary for severe headache; you may repeat the dose after 2 hours. Do not take more than two tablets in a 24-hour period, or four tablets in a week. It should not be used within 24 hours of another triptan, any ergot preparation including cabergoline, Migranal, or DHE-45.",88
Take all four tablets one hour prior to dental procedure.,88
(Also Known As Deltasone) 1 tablet by mouth twice a day for 7 days,88
1000IU 1 cap po daily,88
8 units subcutaneously daily,88
(Also Known As Glucophage XR) 1 tablet by mouth three times a day,88
1 capsule by mouth every week for 20 weeks,88
(Also Known As Corgard) 1 tablet by mouth twice a day,88
"10mg, one tab by mouth daily",88
one tab by mouth every other day,88
10 mg take by mouth daily,88
0.4mg 1 tablet sublingual as needed for chest pain,88
40 mg 1 tablet by mouth every morning,88
(Also Known As Ortho Micronor) 1 tablet by mouth daily for 28 days,88
(Also Known As Topamax) 3 tablets by mouth daily,88
2 tablets by mouth four times a day for 14 days,88
10mg at bed time,88
2 puffs from the inhaler every 4 hours for 14 days,88
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours for 3 days as needed for VOMITING,88
80 units subcutaneously daily per insulin pump,88
8mg 1 tab by mouth daily,88
500 mg take 1 tab by mouth daily,88
(Also Known As Ilotycin) 1 centimeters in the left eye four times a day for 7 days,88
400mg 1 tablet by mouth three times daily,88
Apply to affected area prn,88
instill in each eye as needed,88
(Also Known As Estrace) 1.5 tablets by mouth daily,88
2000 IU take 1 tab by mouth daily,88
1200 mg 1 tab daily,88
1 tablet by mouth every evening at bedtime for thirty day(s),88
one capsule by mouth every day,88
(Also Known As Rocaltrol) 1 capsule by mouth every other day,88
20mg one capsule by mouth once daily,88
30mg orally twice daily,88
200 mcg one tablet by mouth daily,88
2.5 milliliters (2.5 mg) by mouth every 6 hours for 7 days as needed for pain,88
Take it as directed,88
5 milliliters (160 mg) by mouth every 6 hours for 3 days as needed for fever,88
(Also Known As Prometrium) 1 capsule by mouth daily for 10 days,88
use three times a day,88
20mg 1tablet by mouth daily,88
(Also Known As Rocaltrol) 1 capsule by mouth three times a week,88
"2 puffs inhalation with spacer every 4 hours as needed for cough, wheezing",88
1 chewable tablet by mouth three times a day,88
2x a day by mouth ,88
Apply to affected areas once or twice daily as needed for pain,88
5000 units by mouth once daily,88
1 spray by Nasal route daily,88
20mEq orally daily,88
(Also Known As Vitamin B-12) 1 milliliter intramuscularly every month,88
20 mg one tablet by mouth every night,88
40 mg tablet po qd,88
100/12.5 mg daily ,88
70 units subcutaneously daily per insulin pump,88
(Also Known As Zovirax) 1 tablet by mouth twice a day as needed,88
125 mcg daily by mouth,88
(Also Known As Macrodantin) 1 capsule by mouth twice a day for 3 days,88
"150mg, Twice per day ",88
60 mg 1 tablet twice daily,87
50Mg 2 tablets daily,87
1 tab three times a day,87
5mg tab PO daily,87
see wound care instructions,87
25mg one pill by mouth daily,87
1 mg 1 by mouth daily,87
3 times daily by mouth,87
2.5mg po once daily,87
10 mg in tube every 8 hours,87
1 tablet by mouth twice weekly ,87
40mg tablet one tablet by mouth every day,87
2tabs by mouth as needed,87
(Also Known As Trileptal) 2.5 tablets by mouth twice a day,87
1 milliliter (10 mg) by mouth twice a day,87
1 tablet by mouth every 12 hours for 4 days,87
1 tablet by mouth every evening at bedtime for 14 days as needed for pain,87
1 tablet on the tongue every 8 hours for 3 days as needed for nausea,87
40mg po one tab daily,87
40 mg every 24 hours for until discontinued,87
40 mg one tablet at bedtime,87
(Also Known As MS Contin) 1 tablet by mouth every 8 hours for 10 days,87
10mg take 1 tablet by mouth once daily,87
10mg one tablet as needed,87
5 milliters by oral route gargle and spit every 4-6 hours prn throat pain,87
(Also Known As Levaquin) 1 tablet by mouth daily for 1 day,87
1 tbsp by mouth daily,87
12.5 mg twice daily with meals for until discontinued,87
"1,000 units 1 capsule by mouth daily",87
2.5mg twice a day,87
20mEq 1 tablet daily,87
cream apply as needed,87
po every other day,87
20mg by mouth 3 times daily,87
100mg by mouth 2xdaily,87
180mg 1 tab. by mouth daily,87
1 tablet by mouth twice a day as needed for diarrhea,87
10 milliliters by mouth twice a day for 5 days,87
1 mg one tab daily ,87
"1 capsule at breakfast, 1 capsule at lunch, 3 capsules at night",87
20mg take one tablet by mouth once a day,87
500mg 1 tablet daily by mouth,87
75mcg tablet by mouth daily,87
75mg 1 tab. by mouth daily,87
"Take three PO daily x 3 days, then two PO daily x 3 days, then one PO daily x 3 days",87
20mg orally once a day,87
20mg 1 tablet by mouth three times a day,87
325mg  1 tab by mouth daily,87
0.6 cc qweek SC with preservative,87
10 mg tablet 1 tablet by mouth every evening at bedtime as needed,87
use 1/2 gram vaginally 2 x/wk for enhanced vaginal comfort,87
325mg po 1 tab. daily,87
10mg 4 times a day,87
125mcg orally daily,87
100mg 1 tab po TID,87
1000 i u one orally daily,87
40mg once daily orally,87
25 mg one tablet by mouth at bedtime,87
1000 IU one capsule by mouth daily,87
2 puffs from the inhaler every 8 hours as needed for wheezing,87
500 mcg one by mouth daily,87
500 mg 1 tablet 2 x daily,87
x mg by mouth twice daily,87
(Flagyl) 1 tablet by mouth twice a day for 7 days,87
0.5 gram into the vagina three times a week,87
60 mg one tablet by mouth twice daily ,87
1 tablet by mouth q4h prn for 3 days as needed for pain,87
15mg by mouth three times daily ,87
2 PUF for inhalation every 4 hours while awake,87
1000mcg orally daily,87
37.5-25 mg daily,87
one tablet by  mouth daily,87
1000mg by mouth every 12 hours,87
0.05% twice daily,87
150mg 1 capsule by mouth daily,87
1 tablet by mouth twice a day for 14 days as needed for nausea,87
as needed for cold,87
50 mg Tab (Also Known As Lopressor) 1 tablet by mouth twice a day,87
50 mg one tab by mouth two times a day,87
Inhale 2 puffs into the lungs every 6 hours as needed for Wheezing,87
25 mg orally every 6 hours as needed for itching,87
as needed for bee stings,87
Apply as directed.,87
?mg one tablet daily,87
1000 mcg tablet by mouth daily,87
0.4mg by mouth once a day,87
(Also Known As Zyprexa) 0.5 tablet by mouth every evening at bedtime,87
650 MG by mouth every 6 hours as needed,87
50 mg as needed for pain,87
"25mg, Once per day in the morning ",87
50 MG in tube every 8 hours,87
1000 mg one tablet twice daily ,87
5 mg take one tablet twice a day,87
4 mg one tab by mouth daily,87
145mg 1 tab po daily,87
5mg one tablet by mouth twice a day,87
20mg orally once daily at bedtime,87
25mg by mouth 3 times daily,87
37.5mg 1 tab po daily,87
10 milliliters by mouth every 4 hours as needed for pain,87
500 mg one tablet by mouth every day,87
40mg. daily tab by mouth,87
5 mg 1 tab once daily,87
PRN for teething,87
0.3 milliliters (0.3 mg) intramuscularly one time only,87
currently for sx,87
1 drop in the left eye three times a day for 3 days before surgery,87
1000 mg orally every 6 hours as needed for pain,87
81mg. tablet one tablet by mouth once daily,87
6 milliliters by mouth twice a day for 7 days,87
20 mg by mouth at night,87
1 applicatorful into the vagina daily for 7 days,87
10mg/325mg tablet 1 tab orally every 4 hours as needed,87
two tablets by mouth per day,87
5 units subcutaneously three times a day,87
500 mg orally four times daily,87
one tablet as needed for pain,87
20mg/12.5mg daily,87
8 units subcutaneously every evening at bedtime,87
500 mg by mouth four times daily,87
3mg by mouth once daily,87
one spray in each nostril daily as needed,87
5/500 mg as needed,87
25 mg 1/2 tab by mouth twice daily,87
800 mg every 8 hours for until discontinued,87
1 mg by mouth once a day,87
81 mg 1 tab by mouth once daily,87
4mg 1 tablet by mouth every 8 hours as needed,87
100mg 1 tab po twice daily,87
1000IU by mouth once a day,87
1 drop to each eye twice daily,87
1 tablet by mouth once daily at bedtime,87
100mg once by mouth daily,87
(Also Known As Corgard) 0.5 tablet by mouth daily,87
40mg 1 tablet by mouth every other day,87
30 milliliters (20 gram) by mouth four times a day,87
37.5-25mg once daily,87
Apply topically 2 (two) times a day.,87
25mg take 1po qd,87
15 milliliters by mouth daily as needed for constipation,87
1 gtt in both eyes every 6 hours,87
1.5 tablets by mouth daily for 90 day(s),87
50 mg 1 tablet by mouth daily as needed,87
400mg 1 tab daily by mouth,87
(Also Known As Norco) 1 tablet by mouth q4h-6h as needed for pain,87
1 tab orally every 4 hours as needed prn pain,87
1 milligram injection prn for one time only as needed for hypoglycemia,87
"50,000 units monthly",87
25mg oral as needed,87
25mg 1 tab as needed,87
"325mg orally three times daily, with meals",87
take 1 capsule (200 mg) by oral route 3 times per day as needed for cough,87
use to test blood glucose as directed,87
10 mg every 8 hours,87
(Also Known As Roxicodone) 2 tablets by mouth every 4 hours as needed for pain,87
(Glucophage XR) 2 tablets by mouth daily,86
(Also Known As Xalatan) 1 drop in both eyes every evening,86
(Also Known As Minipress) 1 capsule by mouth twice a day,86
"place 1 tablet (0.4 mg) by sublingual route with onset of chest pain; may repeat every 5 min until relief; if pain persists after 3 tablets in 15 min, prompt medical attention is recommended",86
18 mcg inhalation daily,86
"5mg, Once per day at bedtime",86
2 mg one orally daily,86
2 sprays by Nasal route daily.,86
0.4 mg every 5 minutes as needed,86
apply a thin layer to the affected area(s) by topical route once per day,86
7.5mg one by mouth daily,86
100mg one tab by mouth once a day,86
2000mcg by mouth daily,86
2000iu 1 tablet daily,86
Use as directed to test Blood Glucose 4-6 times per day. Take one kit to school.,86
20 mg every evening,86
take 1 tablet by mouth every morning,86
(Also Known As Ultram) 1 tablet by mouth four times a day,86
1 tablet by mouth daily for 12 weeks,86
12.5 MG orally at bedtime,86
17 gram by mouth three times a day,86
(Also Known As Tobrex) 1-2 drops in eyes as directed every 4 hours for 7 days,86
(Also Known As ZOFRAN ODT) 1 tablet by mouth every 8 hours as needed for vomiting,86
25mg by mouth three times daily as needed,86
10 milliliters (100 mg) by mouth twice a day,86
1 spray each nostril at bedtime,86
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours,86
(Also Known As Ultram) 1 tablet by mouth three times a day for 30 day(s) as needed for pain,86
(Also Known As Rocaltrol) 1 capsule by mouth twice a day for 14 days,86
(Also Known As Rythmol SR) 1 capsule by mouth every 12 hours,86
200 mcg tablet 1 tablet by mouth daily,86
1 tablet by mouth daily for 3 weeks,86
160mg 1 by mouth daily,86
(Also Known As Valium) 1 tablet by mouth twice a day as needed for muscle spasms,86
take 1 tablet by mouth twice daily.,86
(Also Known As Aldactone) 1.5 tablets by mouth daily,86
325 mg one daily,86
"take 1 tablet (35 mg) by oral route once weekly in the morning, at least 30 min before first food, beverage, or medication of day",86
75 mg by mouth once a day,86
40 mg every morning,86
(Also Known As Colestid) 2 tablets by mouth daily,86
20 mg i po at bedtime,86
"100mg orally once daily, at bedtime",86
40 mg  Take 1 tablet by mouth daily at bedtime,86
10 mg tablet po qd,86
3.125 mg by mouth twice a day,86
180mg 1 tab by mouth daily as needed,86
(Also Known As Flonase) 1 spray in each nostril daily as needed,86
5 mg 1 tab at bedtime,86
400IU twice daily,86
two tabs by mouth as needed,86
(Also Known As Glucophage XR) 1 tablet by mouth daily for 14 days then 2 tablets by mouth daily,86
5mg four times daily,86
5mg orally at bedtime,86
(Also Known As Verelan) 1 capsule by mouth every evening at bedtime,86
1 tablet by mouth every 12 hours for 10 days as needed for pain,86
2 milliliters (4 mg) by mouth twice a day,86
(Also Known As Malarone) 1 tablet by mouth daily for 12 day(s),86
(Also Known As ZOFRAN ODT) 1 tablet by mouth every 8 hours as needed for nausea/vomiting,86
(Also Known As Imdur) 1 tablet by mouth twice a day,86
inhale 2 puffs twice a day,86
one pill twice daily,86
Rental wheelchair with elevated leg rests x 6 weeks,86
(Also Known As Lortab) 1-2 tablets by mouth every 4 hours as needed for pain,86
(Also Known As Seroquel) 3 tablets by mouth every evening at bedtime,86
Take 20 mg by mouth every evening.,86
90 mcg 2 puffs as needed,86
(Also Known As Neurontin) 1 capsule by mouth twice a day for 90 day(s),86
apply a thin film to the affected skin areas by topical route 3 times per day as needed,86
"20 mg Cap, Delayed Release (Prilosec) 1 capsule by mouth daily",86
apply 2 gram to the affected area(s) by topical route 2 times per day,86
160/4.5 two puffs twice daily,86
5 ml orally every twelve hours,86
daily or as needed,86
(Also Known As Bentyl) 1 tablet by mouth before each meal as needed,86
7 milliliters (224 mg) by mouth every 6 hours as needed for fever/pain,86
5 mg one by mouth twice daily,86
112 mcg daily by mouth,86
50 mcg 1 spray in each nostril daily,86
(Also Known As Ultram) 1 tablet by mouth every 6 hours for 5 days,86
600mg by mouth once a day,86
use to monitor BG 6-8x per day,86
1 mg 1 tablet twice daily,86
2000 MG one tablet by mouth daily,86
over the counter by mouth as needed,86
200mg 1 tablet po daily,86
100mg takes one by mouth daily,86
100/25mg 1 tab by mouth daily,86
"sig one po today, repeat x one in 3 days",86
1 capsule by mouth every 6 hours for 14 days as needed for pain,86
20 mg Tab (Also Known As Zocor) 1 tablet by mouth every evening at bedtime ,86
50mg once by mouth daily ,86
15 mg once daily orally,86
10mg tab as needed,86
250/50 One puff twice a day,86
10/12.5 mg 1 tablet by mouth daily,86
"5,000 units 1 capsule by mouth daily",86
50mg  twice daily,86
20 mg by mouth once daily at bedtime,86
100mg once daily at bedtime,86
Apply to affected area twice a day.,86
Use 1-2 sprays in each nostril one time only in the morning and one time only in the evening.,86
(Also Known As Depakote) 1 tablet by mouth daily,86
12.5 mg at bedtime,86
1 milligrams injection as needed for hypoglycemia,86
5 milliliters (50 mg) by mouth daily,86
"50 mcg/actuation nasal spray,suspension (Also Known As Flonase) 1 spray in each nostril twice a day as needed",86
(Also Known As Augmentin ES-600) 3.5 milliliters by mouth twice a day for 10 days,86
5 mg po at bedtime,86
Take 2 tablets by mouth twice daily,86
300 mg as needed,86
inject 150 mg by intramuscular route every 3 months,86
180mg 1 tablet by mouth once daily,86
one tab by mouth dialy,86
1000mg by mouth as needed,86
50 mcg/actuation Nasal Spray 2 sprays in each nostril daily as needed,86
unsure of mg take by mouth daily,86
1-2 tabs PO every 4 hours prn pain,86
250 mg by mouth twice a day,86
(Also Known As Mobic) 1 tablet by mouth daily for 90 day(s),86
10mg 1 po daily PRN,86
2-3 times per week,86
150 mg one tab daily,86
100-25 mg by mouth daily,86
25mg by mouth every 6 hours as needed for nausea,86
12 units subcutaneously twice a day,86
patch as directed,86
(Also Known As Carafate) 1 tablet by mouth four times a day for 14 days,86
(Also Known As Lamisil) 1 tablet by mouth daily for 6 weeks,86
40 mg orally every 6 hours as needed,86
"0.25 mg orally three times daily, as needed",86
"Take one capful daily, mix in 4-6 oz juice or water. May need to adjust dose to achieve desired results.",86
80mg by mouth twice a day,86
100mg by mouth every day,86
600mg tablet by mouth daily,86
81 mg one pill by mouth daily,86
(Also Known As Keflex) 1 capsule by mouth every 6 hours for 3 days,86
take one tablet by mouth every night or as directed by the Coumadin clinic,86
20mg 1 po at bedtime,85
25mg every morning,85
1 mg by mouth every day,85
Take 40 mg by mouth nightly.,85
1 app to affected areas on face AND body twice a day,85
50mg take 1 tablet by mouth twice daily,85
20 mg 1 tablet by mouth at night,85
75mg Tablets take 1 tablet by mouth daily,85
"325 mg three times daily, with meals for until discontinued",85
875mg twice daily,85
1 inhalation as needed,85
600mg 2 tablets daily,85
650 MG orally every 8 hours as needed for pain ,85
10mg take one tablet by mouth once a day,85
"1000 un orally once daily, in the morning",85
1 capsule by mouth twice a day for 20 days as needed for constipation,85
0.4mg 1 tablet by mouth at bedtime,85
(Also Known As Cipro) 1 tablet by mouth daily for 7 days,85
1 cap full daily,85
one spray per nostril daily,85
(Also Known As Mobic) 1 tablet by mouth daily as needed for headache,85
150mg 1 by mouth twice daily,85
(Also Known As Depo-Testosterone) 0.5 milliliter (100 mg) intramuscularly every week,85
(Also Known As Kadian) 1 capsule by mouth every 12 hours,85
120 mg one tab by mouth daily,85
Fingertip amount (pea sized) to vaginal opening each night x 2 weeks then two times a week (Sun/Wed).,85
one tablet by mouth twice daily as needed,85
600mg Take one tablet daily,85
as needed inhaler,85
150 MG orally every 6 hours as needed for pain,85
(Also Known As Ultram) 1 tablet by mouth daily,85
10 mg once at bedtime,85
800mg twice a day,85
900 mg orally three times daily,85
20meq 1 tab by mouth twice daily,85
1 mg every 4 hours as needed for until discontinued,85
25mg 3 times daily,85
two tablets as needed,85
1 capsule by mouth daily for thirty day(s),85
dose unknown orally daily ,85
500mg two tabs by mouth twice daily,85
"Wear abdominal binder when standing, velcro front closure is ideal.",85
10mg 1 tab by mouth at bedtime as needed,85
1mg 1 tablet by mouth 3 times daily,85
145mg daily by mouth,85
1 tablet by mouth three times a day for 4 days as needed for pain,85
4 mg 1 tablet once daily,85
every 6 hrs as needed ,85
(Also Known As Roxicodone) 1 tablet by mouth every 4 hours for 2 days as needed for pain,85
(Also Known As Zovirax) 1 capsule by mouth twice a day,85
30mg one tab daily,85
1 tablet by mouth every 6 hours as needed for breakthrough pain,85
nebulizer twice a day,85
350mg twice daily,85
"take 1 tablet (5 mg) by oral route and place on top of the tongue where it will dissolve, then swallow once; if headache returns, the dose may be repeated after 2 hours, not to exceed 10 mg within 24 hours",85
(Also Known As Cleocin HCl) 3 capsules by mouth three times a day for 10 days,85
0.075 mg by mouth daily,85
(Also Known As Mobic) 1-2 tablets by mouth daily as needed,85
(Also Known As Flonase) 1 spray in each nostril twice a day for 10 days,85
1-2 tablets by mouth every evening at bedtime for 7 days as needed for pain,85
(Also Known As Zovirax) 1 tablet by mouth every 12 hours,85
twice by mouth daily ,85
25mg once at bedtime,85
5mg  1 tab by mouth as needed,85
325 mg by mouth twice a day,85
apply 2 gram to the affected area(s) by topical route 2-4 times per day,85
200mg tablet by mouth twice daily,85
15mg po at bedtime,85
40mg 1 tablet by mouth every evening at bedtime,85
25 mg tablet 1 tablet by mouth every evening at bedtime,85
100 MG orally every 24 hours,85
1 milliliter (10 mg) by mouth daily,85
Requesting speech-language therapy in order to promote communication skills and pragmatics of speech.,85
(Also Known As Augmentin ES-600) 5 milliliters by mouth twice a day for 7 days,85
0.05% cream as needed,85
28mg by mouth daily,85
25MG by mouth every morning,85
500mg 1 daily by mouth,85
Take  by mouth 2 (Two) Times a Day.,85
(Also Known As Stagesic) 1 capsule by mouth every 6 hours as needed for pain,85
1 puff twice daily as needed,85
2 puffs from the inhaler twice daily,85
1 tablet by mouth every 6 hours for 5 days as needed for severe pain,85
40mg Take 1 tablet by mouth once daily,85
100 mg tablet 1 tablet by mouth every evening at bedtime,85
1 capsule by mouth every week for 16 weeks,85
80mg one tablet by mouth twice daily,85
50mg Tablets take one tablet by mouth daily,85
1 tablet by mouth twice a day for 4 day(s),85
25mg Tablets take one tablet by mouth daily,85
(Also Known As Hydrea) 1 capsule by mouth daily,85
2-3 times a week,85
100-25mg once daily,85
10 mg PO three times daily,85
"1 tablet by mouth every 6 hours as needed for nausea, vomiting",85
take as a Dosepak,85
"20mg tab, one tab daily",85
2mg 1 tab po BID,85
1000mcg tablet by mouth daily,85
8 mg 1 tablet by mouth daily,85
(Also Known As Deltasone) 3 tablets by mouth daily,85
(Also Known As Cipro) 1 tablet by mouth daily for 3 days,85
HFA 90 mcg/actuation aerosol inhaler 2 puffs from the inhaler every 4 hours as needed for wheezing with spacer,85
1-2 tablets every 4-6 hours as needed for pain,85
800mg one tablet by mouth daily,85
1 tsp by mouth twice daily,85
"20mg tablet, one tablet by mouth daily",85
"5 mg, Take 1 tablet by mouth daily",85
5 milliliters by mouth twice a day for 14 days,85
25 mg 0.5 tablet by mouth twice daily,85
Check blood sugar three times daily,85
two puffs by mouth as needed,85
Mix 300 mg Estradiol powder and 6 gms Progesterone and 100 Mg Testosterone powder into a Gycol base. Disp a 30 ml bottle. Patient to use 1-4 drops to clean dry skin daily.,85
40 mg take by mouth daily,85
(Also Known As Naprosyn) 1 tablet by mouth twice a day for 15 days,85
1 tablet by mouth q4h prn for 7 days,85
1000 international unit tablet by mouth daily,85
"Please give 1/2 tablet for a headache. If 1/2 tablet does not work well enough, can use 1 tablet for the next headache.",85
2 tablets by mouth every 8 hours for 5 days as needed for pain,85
apply a thin layer to the affected area(s) by topical route 2 times per day until well healed (face),85
10 mg po prn pain,85
1-2 tablets by mouth twice a day as needed for muscle spasms,85
750 MG orally every 24 hours,85
1/2 tablet twice daily ,85
1 puff once a day,85
10mg tablet twice daily,85
"2 puffs inhaled with spacer every 4 hours if needed for cough, wheeze",85
topically to open wound once daily,85
200mg  1 tab by mouth twice daily,85
2.5mg 1 tab by mouth twice daily,85
10mg tab po at bedtime,85
mg? takes as directed,85
50mg take one by mouth twice daily,85
100 mg 3 times daily,85
(Also Known As Revatio) 1 tablet by mouth every 8 hours,85
4 mg by mouth three times daily,85
500 mg one tablet daily by mouth,85
(Cipro) 1 tablet by mouth twice a day for ten days,85
50 mg tablet take one tablet by mouth daily,85
65mg twice daily,85
10/325mg four times daily,85
apply a thin film to the affected skin areas by topical route 4 times per day as needed only. Avoid use on face.,85
2 mg 1 tablet by mouth once daily,85
2 puffs from the inhaler 6h for 14 days as needed for cough,85
